Data;Ora;Luogo;Feriti;Tipo;Latitudine;Longitudine
01/02/2023;08:00;VIA TIRO A SEGNO altezza del civico 60;0;C;38,111048;13,376486
01/02/2023;08:15;VIALE MARGHERITA DI SAVOIA altezza P.ZA VALDESI;1;F;38,196652;13,331832
01/02/2023;10:30;VIA LIGURIA intersezione con VIA VAL DI MAZARA;1;F;38,14798;13,334568
01/02/2023;11:20;VIALE REGIONE SICILIANA in prossimit? di RAMPA MICHELANG;0;C;38,139216;13,331053
01/02/2023;12:20;VIA SAMMARTINO altezza del civico 85;1;F;38,126107;13,349284
01/02/2023;12:40;VIA PAPIRETO altezza del civico 22;2;F;38,1157;13,352859
01/02/2023;13:30;VIA CORAZZA FILIPPO intersezione VIA D'ONDES REGGIO VITO;1;F;38,107964;13,362959
01/02/2023;13:50;VIALE REGIONE SICILIANA N.O. intersezione VIA PRINCIPE DI PATERNO';2;F;38,135719;13,330929
01/02/2023;15:15;VIA PONTE DI MARE altezza del civico 49;1;F;38,113105;13,377919
01/02/2023;15:45;VIALE REGIONE SICILIANA S.E. carreggiata centrale alt. civ. 515;1;M;38,099055;13,332423
01/02/2023;17:00;VIALE LEONARDO DA VINCI altezza del civico 176;1;F;38,127925;13,326842
02/02/2023;08:20;VIALE REGIONE SICILIANA N.O. di fronte al civico 1245;1;F;38,114506;13,329572
02/02/2023;10:00;VIA TOMASI CARDINALE intersezione VIA PELLICO SILVIO;1;F;38,115086;13,345483
02/02/2023;11:50;VIA ROMA altezza del civico 149;1;F;38,115032;13,364431
02/02/2023;13:00;VIA LIGURIA intersezione VIA TOSCANA;0;C;38,144259;13,337059
02/02/2023;18:20;PIAZZA VIRGILIO altezza del civico 11;1;F;38,123928;13,348531
02/02/2023;20:05;VIALE STRASBURGO altezza (spec.) 352;0;C;38,157055;13,326246
03/02/2023;03:40;CORSO DEI MILLE altezza del civico 1562;2;R;38,09019;13,417301
03/02/2023;07:30;VIALE REGIONE SICILIANA S.E. s.n.c.;1;F;38,087177;13,398164
